`Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2023-08-11,2023-08-14,9556,PORTLAND SEA DOGS- CON,Dining,1.7,
2023-08-11,2023-08-14,9556,PORTLAND SEA DOGS- CON,Dining,5.2,
2023-08-11,2023-08-12,9556,GOOGLE *YouTubePremium,Internet,2.8,
2023-08-10,2023-08-11,9556,VENTRA ACCOUNT,Other Travel,0.9,
2023-08-10,2023-08-10,XXXX,MYBANK MOBILE PYMT,Payment/Credit,,342.74
2023-08-10,2023-08-10,9556,TST* BIG STAR II,Dining,31.63,
2023-08-10,2023-08-10,9556,TST* JENI'S SPLENDID I,Dining,4.63,
2023-08-09,2023-08-10,9556,MARIANOS #538,Merchandise,52.97,
2023-08-06,2023-08-09,9556,PURCHASE ADJUSTMENT,Dining,,12.07
2023-08-07,2023-08-08,9556,COFFEETEA,Merchandise,1.88,
2023-08-07,2023-08-08,9556,COFFEETEA,Merchandise,17.97,
2023-08-06,2023-08-08,9556,FBR: Lollapalooza,Dining,12.07,
2023-08-06,2023-08-08,9556,FBR: Lollapalooza,Dining,12.07,
2023-08-06,2023-08-08,9556,FBR: Lollapalooza,Dining,6.7,
